"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","28/1157","134/9378",0.208955223880597,1.69367509900799,3.03399491786764,0.00328904031353377,0.0280787216038262,0.0220174872682939,"2776/10268/5319/4881/10203/5581/185/94274/115/4628/5588/2977/4629/10266/5592/3708/4660/5583/5322/5579/1909/8605/1906/10398/776/72/810/2778",28
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","8/1157","22/9378",0.363636363636364,2.94743458788403,3.43056321396519,0.00339794870229181,0.0280787216038262,0.0220174872682939,"443/217/4129/4128/3067/221/3176/26",8
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","20/1157","86/9378",0.232558139534884,1.88498723643746,3.09291472106157,0.00342080803478168,0.0280787216038262,0.0220174872682939,"8516/3672/9254/1832/1674/6445/488/1829/1756/3680/4000/3908/22801/776/3728/6444/3691/1824/5318/1000",20
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","25/1157","116/9378",0.21551724137931,1.74686317169851,3.03636491326131,0.00346661618498296,0.0280787216038262,0.0220174872682939,"51208/58494/1003/5906/90952/5175/4688/7122/5295/5747/11069/5579/3684/4318/3383/10398/100506658/4689/6387/5336/7070/1536/394/9071/5010",25
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","24/1157","110/9378",0.218181818181818,1.76846075273042,3.04131451916247,0.00349966675062182,0.0280787216038262,0.0220174872682939,"7010/2597/2034/284/6513/9470/817/112399/3570/7099/1978/5295/5163/3101/5214/5579/1906/5336/3569/2026/1536/3162/7422/7018",24
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","12/1157","42/9378",0.285714285714286,2.31584146190888,3.20615197016153,0.00376210674296769,0.0294983369619058,0.0231306562904951,"64116/2182/2729/2180/23657/51703/2730/23516/1536/1356/3162/7018",12
"Human Diseases","Immune disease","hsa05310","Asthma","10/1157","32/9378",0.3125,2.53295159896284,3.25856851506146,0.00391872265169866,0.0300435403296897,0.0235581689236621,"2206/2205/3108/3115/3113/2207/3111/3122/3119/3117",10
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","17/1157","70/9378",0.242857142857143,1.96846524262255,3.05099281547098,0.00418469777719153,0.0313852333289365,0.0246102363555657,"857/3133/6445/2534/1756/1604/3908/3108/3383/3115/3113/3111/5551/6444/3122/3119/3117",17
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","15/1157","59/9378",0.254237288135593,2.06070638559688,3.06600491487729,0.00438534416234011,0.0321902922554752,0.0252415106320584,"6241/2878/79017/27306/2949/3418/2729/2947/6240/2877/493869/290/494143/2730/2952",15
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","21/1157","94/9378",0.223404255319149,1.81079093032237,2.96374992655588,0.00455091679468332,0.0327097144617864,0.0256488073735442,"29761/2354/2920/2353/53342/2921/4312/4318/6347/3569/4792/3725/1440/3553/4314/5743/4322/6279/6374/6278/2919",21
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","33/1157","170/9378",0.194117647058824,1.57340993441456,2.83037077740639,0.00511143888818368,0.0359887023759871,0.0282199740980281,"51208/58494/5906/5581/11346/9693/10096/51762/4628/1019/4629/23327/91862/7122/2017/5111/1080/9223/7082/5590/154810/84612/5522/51421/10398/100506658/911/776/3725/1739/9071/5010/57530",33
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","35/1157","184/9378",0.190217391304348,1.54179662545564,2.78438490662759,0.00560396319258583,0.0384616364179676,0.0301590863750348,"6586/9353/59277/1808/9037/659/56920/1073/817/2534/6092/22854/1945/22885/5295/5590/5747/5362/4690/6237/7225/57556/3983/84612/5058/5062/10398/25791/80031/6387/5336/8829/10509/4773/27289",35
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","12/1157","44/9378",0.272727272727273,2.21057594091302,3.01940098092189,0.0056856332096126,0.0384616364179676,0.0301590863750348,"3133/355/3108/3115/3113/3111/5551/5799/3122/3553/3119/3117",12
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","39/1157","212/9378",0.183962264150943,1.49109603561586,2.71319336084763,0.00643667703113028,0.0427048764565375,0.0334863562145847,"7010/9732/2776/5906/284/9693/115/2247/51196/64411/1945/3082/2264/1268/5217/3937/260425/5295/9223/5590/3791/9771/11069/5579/6237/3684/84612/9863/8817/1435/4254/2357/5587/7057/5228/810/2778/7422/2263",39
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","12/1157","45/9378",0.266666666666667,2.16145203111495,2.92976789194609,0.0069030652730877,0.0449350475323633,0.0352351097355221,"3133/355/3108/3115/3569/3113/3111/5551/3122/3553/3119/3117",12
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","37/1157","200/9378",0.185,1.499507346586,2.67866969656402,0.0071344121683437,0.0455809666310848,0.0357415970226965,"51208/2597/10096/4628/2534/7099/4629/7122/2017/4542/355/55971/7082/3554/4690/203068/10810/2353/8936/5058/81027/55930/5062/834/3071/4645/100506658/3569/347733/4792/837/3725/114548/3553/9071/8743/5010",37
